week_id,date,sessions,online_leads_actuals,test_drive_request,offer_request,total_configs_finished,keep_me_updated,dealer_locator,private_orders
80,2018-07-08,24420,61,38,23,2396,0,2464,16
80,2018-07-09,28615,49,23,26,2713,0,3532,15
80,2018-07-10,33702,85,52,33,3167,0,3752,11
80,2018-07-11,28600,89,46,43,2792,0,3112,9
80,2018-07-12,28625,76,41,35,2888,0,3383,6
80,2018-07-13,27500,83,41,42,2804,0,3275,4
80,2018-07-14,26579,64,32,32,2809,0,2996,2
81,2018-07-15,27350,65,27,38,2919,0,2872,1
81,2018-07-16,29641,81,43,38,3169,0,3706,1
81,2018-07-17,29649,65,36,29,3087,0,3666,1
81,2018-07-18,29634,72,36,36,3151,0,3563,0
81,2018-07-19,31952,56,35,21,3011,0,3525,1
81,2018-07-20,31282,55,32,23,3094,1,3528,0
81,2018-07-21,28938,52,31,21,3095,0,3271,1
82,2018-07-22,28962,40,18,22,3029,0,2970,1
82,2018-07-23,31261,53,30,23,3170,0,3671,1
82,2018-07-24,28973,90,51,39,2875,0,3464,1
82,2018-07-25,27506,71,44,27,2884,0,3345,1
82,2018-07-26,26244,61,35,26,2827,0,3117,1
82,2018-07-27,27308,71,41,30,2891,0,3300,1
82,2018-07-28,27909,85,47,38,3365,0,3579,1
83,2018-07-29,29864,89,53,36,3840,0,3526,1
83,2018-07-30,30332,76,41,35,3423,0,3891,1
83,2018-07-31,28658,58,28,30,3162,0,3632,1
83,2018-08-01,31749,68,44,24,3242,1,3548,1
83,2018-08-02,31320,70,36,34,3341,0,3384,1
83,2018-08-03,29947,70,40,30,3325,0,3464,1
83,2018-08-04,28431,51,25,26,3286,0,3130,1
84,2018-08-05,28923,47,18,29,3322,0,2842,2
84,2018-08-06,30604,80,41,39,3324,0,3946,3
84,2018-08-07,28887,58,32,26,3067,0,3510,2
84,2018-08-08,29269,83,47,36,3077,0,3508,2
84,2018-08-09,29015,77,49,28,3112,0,3519,2
84,2018-08-10,30212,70,31,39,3224,1,3706,2
84,2018-08-11,28671,67,51,16,3274,2,3219,2
85,2018-08-12,30557,65,33,32,3683,0,3284,1
85,2018-08-13,31331,62,35,27,3319,0,3875,1
85,2018-08-14,30945,79,43,36,3673,0,3713,1
85,2018-08-15,27557,49,20,29,3225,0,3563,2
85,2018-08-16,27560,77,52,25,3300,1,3458,1
85,2018-08-17,27577,54,34,20,3298,2,3450,2
85,2018-08-18,26101,35,19,16,3085,0,3336,2
86,2018-08-19,26867,64,34,30,3476,0,3240,2
86,2018-08-20,29982,73,44,29,3172,0,3870,2
86,2018-08-21,26836,86,42,44,3086,0,3463,2
86,2018-08-22,27436,75,52,23,2894,0,3536,2
86,2018-08-23,26071,69,43,26,2869,0,3294,2
86,2018-08-24,26828,74,46,28,3116,0,3556,2
86,2018-08-25,23973,79,60,19,2981,0,3079,2
87,2018-08-26,25885,74,44,30,3295,0,3144,2
87,2018-08-27,26606,67,43,24,2971,0,3351,2
87,2018-08-28,21923,94,61,33,2993,1,3495,2
87,2018-08-29,21338,83,38,45,2985,1,3266,2
87,2018-08-30,20607,78,58,20,2802,0,3101,3
87,2018-08-31,18980,72,36,36,2718,0,2886,3
